;0;1;2;3
0;AAN;Aaron's Inc;Consumer Discretionary;view
1;AAP;Advance Auto Parts Inc;Consumer Discretionary;view
2;ACC;American Campus Communities;Financials;view
3;ACIW;ACI Worldwide Inc;Information Technology;view
4;ACM;Aecom Technology Corp.;Consumer Services;view
5;ACXM;Acxiom;Information Technology;view
6;ADVS;Advent Software Inc;Information Technology;view
7;AEO;American Eagle Outfitters;Consumer Discretionary;view
8;AFG;American Financial Group Inc;Financials;view
9;AGCO;AGCO Corp;Industrials;view
10;AHL;Aspen Insurance Holdings Ltd;Financials;view
11;AJG;Arthur J Gallagher & Co;Financials;view
"12;AKRX;""Akorn; Inc"";Health Care;view"
13;ALB;Albemarle Corp;Materials;view
14;ALEX;Alexander & Baldwin Inc;Industrials;view
15;ALGN;Align Technology;Health Care;view
16;ALK;Alaska Air Group Inc;Industrials;view
17;AMCX;AMC Networks;Consumer Discretionary;view
18;AMD;Advanced Micro Devices;Information Technology;view
19;ANF;Abercrombie & Fitch Co.;Consumer Discretionary;view
20;ANN;Ann Inc;Consumer Discretionary;view
21;ANSS;ANSYS Inc;Information Technology;view
22;AOL;AOL Inc;Information Technology;view
23;AOS;A.O. Smith Corp;Industrials;view
24;APOL;Apollo Group;Consumer Discretionary;view
25;ARE;Alexandria Real Estate Equit;Financials;view
26;ARRS;ARRIS Group Inc;Information Technology;view
27;ARW;Arrow Electronics Inc;Information Technology;view
28;ASB;Associated Banc-Corp;Financials;view
29;ASH;Ashland Inc;Materials;view
30;ASNA;Ascena Retail Group Inc;Consumer Discretionary;view
31;ATML;Atmel Corp;Information Technology;view
32;ATO;Atmos Energy Corp;Utilities;view
33;ATR;AptarGroup Inc;Materials;view
34;AVP;Avon Products Inc;Consumer Staples;view
35;AVT;Avnet Inc;Information Technology;view
36;AYI;Acuity Brands Inc;Industrials;view
37;BC;Brunswick Corp;Consumer Discretionary;view
38;BDC;Belden Corp;Information Technology;view
39;BEAV;B/E Aerospace Inc;Industrials;view
