;0;1;2;3;4;5
0;MMM;3M Company;reports;Industrials;St. Paul, Minnesota;66740
1;ABT;Abbott Laboratories;reports;Health Care;North Chicago, Illinois;1800
2;ABBV;AbbVie;reports;Health Care;North Chicago, Illinois;1551152
3;ACN;Accenture plc;reports;Information Technology;Dublin, Ireland;1467373
4;ATVI;Activision Blizzard;reports;Information Technology;Santa Monica, California;718877
5;AYI;Acuity Brands Inc;reports;Industrials;Atlanta, Georgia;1144215
6;ADBE;Adobe Systems Inc;reports;Information Technology;San Jose, California;796343
7;AAP;Advance Auto Parts;reports;Consumer Discretionary;Roanoke, Virginia;1158449
8;AES;AES Corp;reports;Utilities;Arlington, Virginia;874761
9;AET;Aetna Inc;reports;Health Care;Hartford, Connecticut;1122304
10;AFL;AFLAC Inc;reports;Financials;Columbus, Georgia;4977
11;AMG;Affiliated Managers Group Inc;reports;Financials;Beverly, Massachusetts;1004434
12;A;Agilent Technologies Inc;reports;Health Care;Santa Clara, California;1090872
13;APD;Air Products & Chemicals Inc;reports;Materials;Allentown, Pennsylvania;2969
14;AKAM;Akamai Technologies Inc;reports;Information Technology;Cambridge, Massachusetts;1086222
15;ALK;Alaska Air Group Inc;reports;Industrials;Seattle, Washington;766421
16;ALB;Albemarle Corp;reports;Materials;Baton Rouge, Louisiana;915913
17;AA;Alcoa Inc;reports;Materials;New York, New York;4281
18;AGN;Allergan plc;reports;Health Care;Dublin, Ireland;884629
19;LNT;Alliant Energy Corp;reports;Utilities;Madison, Wisconsin;352541
20;ALXN;Alexion Pharmaceuticals;reports;Health Care;Cheshire, Connecticut;899866
21;ALLE;Allegion;reports;Industrials;Dublin, Ireland;1579241
22;ADS;Alliance Data Systems;reports;Information Technology;Plano, Texas;1101215
23;ALL;Allstate Corp;reports;Financials;Northfield Township, Illinois;899051
24;GOOGL;Alphabet Inc Class A;reports;Information Technology;Mountain View, California;1652044
25;GOOG;Alphabet Inc Class C;reports;Information Technology;Mountain View, California;1652044
26;MO;Altria Group Inc;reports;Consumer Staples;Richmond, Virginia;764180
27;AMZN;Amazon.com Inc;reports;Consumer Discretionary;Seattle, Washington;1018724
28;AEE;Ameren Corp;reports;Utilities;St. Louis, Missouri;1002910
29;AAL;American Airlines Group;reports;Industrials;Fort Worth, Texas;6201
30;AEP;American Electric Power;reports;Utilities;Columbus, Ohio;4904
31;AXP;American Express Co;reports;Financials;New York, New York;4962
32;AIG;American International Group, Inc.;reports;Financials;New York, New York;5272
33;AMT;American Tower Corp A;reports;Financials;Boston, Massachusetts;1053507
34;AWK;American Water Works Company Inc;reports;Utilities;Voorhees, New Jersey;1410636
35;AMP;Ameriprise Financial;reports;Financials;Minneapolis, Minnesota;820027
36;ABC;AmerisourceBergen Corp;reports;Health Care;Chesterbrook, Pennsylvania;1140859
37;AME;Ametek;reports;Industrials;Berwyn, Pennsylvania;1037868
38;AMGN;Amgen Inc;reports;Health Care;Thousand Oaks, California;318154
39;APH;Amphenol Corp A;reports;Industrials;Wallingford, Connecticut;820313
40;APC;Anadarko Petroleum Corp;reports;Energy;The Woodlands, Texas;773910
41;ADI;Analog Devices, Inc.;reports;Information Technology;Norwood, Massachusetts;6281
42;ANTM;Anthem Inc.;reports;Health Care;Indianapolis, Indiana;1156039
43;AON;Aon plc;reports;Financials;London, United Kingdom;315293
44;APA;Apache Corporation;reports;Energy;Houston, Texas;6769
45;AIV;Apartment Investment & Mgmt;reports;Financials;Denver, Colorado;922864
46;AAPL;Apple Inc.;reports;Information Technology;Cupertino, California;320193
47;AMAT;Applied Materials Inc;reports;Information Technology;Santa Clara, California;6951
48;ADM;Archer-Daniels-Midland Co;reports;Consumer Staples;Decatur, Illinois;7084
49;AJG;Arthur J. Gallagher & Co.;reports;Financials;Itasca, Illinois;354190
50;AIZ;Assurant Inc;reports;Financials;New York, New York;1267238
51;T;AT&T Inc;reports;Telecommunications Services;Dallas, Texas;732717
52;ADSK;Autodesk Inc;reports;Information Technology;San Rafael, California;769397
53;ADP;Automatic Data Processing;reports;Information Technology;Roseland, New Jersey;8670
