,tab1,attr1,tab2,attr2,prob,matcher
0,table_1,share_price,companiesMarketCap_dataset.jsonl,share_price,0.82333446,Coma
1,table_1,market_cap,companiesMarketCap_dataset.jsonl,market_cap,0.8215487,Coma
2,table_1,country,companiesMarketCap_dataset.jsonl,country,0.8149311,Coma
3,table_1,name,companiesMarketCap_dataset.jsonl,name,0.80547726,Coma
4,table_1,founded,companiesMarketCap_dataset.jsonl,id,0.3130717,Coma
5,table_1,stock,companiesMarketCap_dataset.jsonl,rank,0.30666143,Coma
6,table_1,employees,companiesMarketCap_dataset.jsonl,categories,0.29856932,Coma
7,table_1,market_cap,disfold_dataset.jsonl,market_cap,0.851268,Coma
8,table_1,employees,disfold_dataset.jsonl,employees,0.84929436,Coma
9,table_1,founded,disfold_dataset.jsonl,founded,0.8446504,Coma
10,table_1,name,disfold_dataset.jsonl,name,0.83519655,Coma
11,table_1,ceo,disfold_dataset.jsonl,ceo,0.8310757,Coma
12,table_1,headquarters,disfold_dataset.jsonl,headquarters_country,0.6355629,Coma
13,table_1,industry,hitHorizons_dataset.jsonl,industry,0.80027896,Coma
14,table_1,address,hitHorizons_dataset.jsonl,address,0.797828,Coma
15,table_1,name,hitHorizons_dataset.jsonl,name,0.7883742,Coma
16,table_1,founded,hitHorizons_dataset.jsonl,id,0.29596865,Coma
17,table_1,earnings,hitHorizons_dataset.jsonl,sic_code,0.275279,Coma
18,table_1,name,valueToday_dataset.jsonl,name,0.7960437,Coma
19,table_1,ceo,valueToday_dataset.jsonl,ceo,0.79192287,Coma
20,table_1,headquarters,valueToday_dataset.jsonl,headquarters_country,0.59641004,Coma
21,table_1,founded,valueToday_dataset.jsonl,founders,0.5725475,Coma
22,table_1,employees,valueToday_dataset.jsonl,number_of_employees,0.53711516,Coma
23,table_1,website,valueToday_dataset.jsonl,company_website,0.52360785,Coma
24,table_1,address,valueToday_dataset.jsonl,company_business,0.3153774,Coma
25,table_1,stock,valueToday_dataset.jsonl,world_rank,0.25224674,Coma
