,tab1,attr1,tab2,attr2,prob,matcher
0,table_1,industry,cbinsights.json,industry,0.7845453,Coma
1,table_1,country,cbinsights.json,country,0.78209436,Coma
2,table_1,sector,cbinsights.json,selectinvestors,0.35263473,Coma
3,table_1,founded,cbinsights.json,datejoined,0.2843201,Coma
4,table_1,name,cbinsights.json,valuation,0.22594458,Coma
5,table_1,country,companiesmarketcap.json,country,0.8030505,Coma
6,table_1,name,companiesmarketcap.json,name,0.79359674,Coma
7,table_1,share_price,companiesmarketcap.json,sharePrice,0.68009496,Coma
8,table_1,market_cap,companiesmarketcap.json,marketcap,0.6679597,Coma
9,table_1,stock,companiesmarketcap.json,rank,0.2947809,Coma
10,table_1,employees,companiesmarketcap.json,categories,0.2866888,Coma
11,table_1,headquarters,disfold.com.json,headquarters,0.8454124,Coma
12,table_1,market_cap,disfold.com.json,market_cap,0.8420032,Coma
13,table_1,employees,disfold.com.json,employees,0.8400296,Coma
14,table_1,name,disfold.com.json,name,0.8259318,Coma
15,table_1,ceo,disfold.com.json,ceo,0.82181096,Coma
16,table_1,stock,disfold.com.json,link,0.327116,Coma
17,table_1,industry,disfold.json,industry,0.8519505,Coma
18,table_1,country,disfold.json,country,0.8494996,Coma
19,table_1,sector,disfold.json,sector,0.8467422,Coma
20,table_1,stock,disfold.json,stock,0.8436172,Coma
21,table_1,name,disfold.json,name,0.84004575,Coma
22,table_1,market_cap,disfold.json,marketCap,0.71440876,Coma
23,table_1,employees,forbes.com.json,employees,0.8568029,Coma
24,table_1,industry,forbes.com.json,industry,0.85460985,Coma
25,table_1,country,forbes.com.json,country,0.8521589,Coma
26,table_1,founded,forbes.com.json,founded,0.8521589,Coma
27,table_1,name,forbes.com.json,name,0.8427051,Coma
28,table_1,ceo,forbes.com.json,ceo,0.83858424,Coma
29,table_1,stock,forbes.com.json,link,0.34388924,Coma
30,table_1,employees,ft.com.json,employees,0.8429764,Coma
31,table_1,industry,ft.com.json,industry,0.84078336,Coma
32,table_1,country,ft.com.json,country,0.8383324,Coma
33,table_1,founded,ft.com.json,founded,0.8383324,Coma
34,table_1,name,ft.com.json,name,0.8288786,Coma
35,table_1,stock,ft.com.json,link,0.33006278,Coma
