,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
0,"Avis Budget Group, Inc.",Rental & Leasing Services,$18.12 B," 16,000",United States,"Parsippany,NJ,UnitedStates",,Industrials, Mr. Joseph A. Ferraro, 2006 ,,,,CAR,,
1,Telefônica Brasil SA,Telecom Services,$20.19 B," 34,000",Brazil,"SÃ£oPaulo,SP,Brazil",,Communication Services, Mr. Christian  Mauad Gebara, 1998,,,,VIV,,
2,East Japan Railway Company,Railroads,$22.78 B," 71,973",Japan,"Tokyo,Japan",,Industrials, Mr. Yuji  Fukasawa,,,,,9020,,
3,Twilio Inc.,Internet Content & Information,$26.09 B," 7,867",United States,"SanFrancisco,CA,UnitedStates",,Communication Services, Mr. Jeffrey  Lawson, 2008,,,,TWLO,,
4,"Delta Electronics, Inc.",Electronic Components,$24.05 B,,Taiwan,"Taipei,Taiwan",,Technology, Mr. Ping  Cheng,,,,,2308,,
5,Power Corporation of Canada,Insurance—Life,$21.48 B," 30,000",Canada,"MontrÃ©al,QC,Canada",,Financials, Mr. Robert Jeffrey Orr, 1925,,,,POW,,
6,"Expedia Group, Inc.",Travel Services,$27.91 B," 14,800",United States,"Seattle,WA,UnitedStates",,Consumer Discretionary, Mr. Peter Maxwell Kern," October 22, 1996",,,,EXPE,,
7,Croda International plc,Specialty Chemicals,$19.22 B," 4,000",United Kingdom,"Goole,UnitedKingdom",,Basic Materials,, 1925,,,,CRDA,,
8,"Coupang, Inc.",Internet Retail,$30.53 B," 68,000",South Korea,"Seoul,SouthKorea",,Consumer Discretionary, Mr. Bom Suk  Kim,,,,,CPNG,,
9,MPLX LP,Oil & Gas Midstream,$35.27 B," 1,139",United States,"Findlay,OH,UnitedStates",,Energy, Mr. Michael J. Hennigan, 1988,,,,MPLX,,
10,NatWest Group plc,Banks,$32.72 B," 58,735",United Kingdom,"Edinburgh,UnitedKingdom",,Financials, Ms. Alison Marie Rose-Slade B.A., 25 March 1968,,,,NWG,,
11,"DuPont de Nemours, Inc.",Chemicals,$39.72 B," 28,000",United States,"Wilmington,DE,UnitedStates",,Basic Materials, Mr. Edward D. Breen," September 1, 2017",,,,DD,,
12,HP Inc.,Computer Hardware,$43.90 B," 51,000",United States,"PaloAlto,CA,UnitedStates",,Technology, Mr. Enrique J. Lores," January 1, 1939",,,,HPQ,,
13,"Honda Motor Co., Ltd.",Auto Manufacturers,$49.11 B," 211,374",Japan,"Tokyo,Japan",,Consumer Discretionary, Mr. Toshihiro  Mibe," Hamamatsu, Japan October 1946, incorporated 24 September 1948",,,,7267,,
14,Macquarie Group Limited,Capital Markets,$55.99 B," 17,209",Australia,"Sydney,NSW,Australia",,Financials," Ms. Shemara R. Wikramanayake B.Com., L.L.B., LLB, BCom (UNSW)", 1969,,,,MQG,,
15,General Motors Company,Auto Manufacturers,$62.69 B," 157,000",United States,"Detroit,MI,UnitedStates",,Consumer Discretionary, Ms. Mary T. Barra," September 16, 1908",,,,GM,,
16,Edwards Lifesciences Corporation,Medical Devices,$73.38 B," 15,700",United States,"Irvine,CA,UnitedStates",,Healthcare, Mr. Michael A. Mussallem, 1958,,,,EW,,
17,Zurich Insurance Group AG,Insurance—Diversified,$73.58 B," 55,000",Switzerland,"Zurich,Switzerland",,Financials, Mr. Mario  Greco,,,,,ZURN,,
18,Atlassian Corporation Plc,Software—Application,$73.72 B," 7,388",Australia,"Sydney,NSW,Australia",,Technology, Mr. Michael  Cannon-Brookes, 2002,,,,TEAM,,
19,"The TJX Companies, Inc.",Apparel Retail,$73.99 B," 270,000",United States,"Framingham,MA,UnitedStates",,Consumer Discretionary, Mr. Ernie L. Herrman, 1987,,,,TJX,,
20,"Intercontinental Exchange, Inc.",Financial Data & Stock Exchanges,$74.17 B," 8,858",United States,"Atlanta,GA,UnitedStates",,Financials, Mr. Jeffrey C. Sprecher," May 11, 2000",,,,ICE,,
21,Canadian Natural Resources Limited,Oil & Gas E&P,$74.78 B," 9,735",Canada,"Calgary,AB,Canada",,Energy,,,,,,CNQ,,
22,Truist Financial Corporation,Banks,$74.79 B," 50,283",United States,"Charlotte,NC,UnitedStates",,Financials, Mr. William Henry Rogers Jr., 1872,,,,TFC,,
23,"Regeneron Pharmaceuticals, Inc.",Biotechnology,$74.91 B," 10,368",United States,"Tarrytown,NY,UnitedStates",,Healthcare," Dr. Leonard S. Schleifer M.D., Ph.D.", 1988,,,,REGN,,
24,"Gilead Sciences, Inc.",Drug Manufacturers—General,$76.15 B," 14,400",United States,"FosterCity,CA,UnitedStates",,Healthcare, Mr. Daniel P.  O'Day," June 22, 1987",,,,GILD,,
25,"Becton, Dickinson and Company",Medical Instruments & Supplies,$76.98 B," 75,000",United States,"FranklinLakes,NJ,UnitedStates",,Healthcare, Mr. Thomas E. Polen Jr.," East Rutherford, New Jersey 1897",,,,BDX,,
26,"The PNC Financial Services Group, Inc.",Banks,$77.10 B," 57,668",United States,"Pittsburgh,PA,UnitedStates",,Financials, Mr. William S. Demchak," April 10, 1845",,,,PNC,,
27,Lam Research Corporation,Semiconductor Equipment & Materials,$77.60 B," 16,300",United States,"Fremont,CA,UnitedStates",,Technology, Mr. Timothy M. Archer, 1980,,,,LRCX,,
28,The Southern Company,Utilities—Regulated Electric,$78.38 B," 27,027",United States,"Atlanta,GA,UnitedStates",,Utilities, Mr. Thomas A. Fanning, 1945,,,,SO,,
29,China Petroleum & Chemical Corporation,Oil & Gas Integrated,$78.39 B," 384,065",China,"Beijing,China",,Energy,," Beijing, China 25 February 2000",,,,600028,,
30,China Yangtze Power Co. Ltd,Utilities—Independent Power Producers,$78.42 B," 3,985",China,"Beijing,China",,Utilities,,,,,,600900,,
31,Kering SA,Luxury Goods,$78.66 B," 42,811",France,"Paris,France",,Consumer Discretionary, Mr. FranÃ§ois-Henri  Pinault,,,,,KER,,
32,Bank of Montreal,Banks,$79.22 B," 43,863",Canada,"Montreal,QC,Canada",,Financials, Mr. William Darryl White, Montreal Bank 23 June 1817,,,,BMO,,
33,Tokyo Electron Ltd,Semiconductor Equipment & Materials,$79.62 B," 14,479",Japan,"Tokyo,Japan",,Technology, Mr. Toshiki  Kawai,,,,,8035,,
34,U.S. Bancorp,Banks,$80.16 B," 68,796",United States,"Minneapolis,MN,UnitedStates",,Financials, Mr. Andrew J. Cecere," July 13, 1863",,,,USB,,
