,tab1,attr1,tab2,attr2,prob,matcher
0,table_1,industry,cbinsights.json,industry,0.78370917,Coma
1,table_1,country,cbinsights.json,country,0.7812582,Coma
2,table_1,sector,cbinsights.json,selectinvestors,0.35179862,Coma
3,table_1,founded,cbinsights.json,datejoined,0.28348395,Coma
4,table_1,name,cbinsights.json,valuation,0.22510847,Coma
5,table_1,share_price,companiesMarketCap_dataset.jsonl,share_price,0.8196193,Coma
6,table_1,market_cap,companiesMarketCap_dataset.jsonl,market_cap,0.81783354,Coma
7,table_1,country,companiesMarketCap_dataset.jsonl,country,0.811216,Coma
8,table_1,name,companiesMarketCap_dataset.jsonl,name,0.8017621,Coma
9,table_1,founded,companiesMarketCap_dataset.jsonl,id,0.30935657,Coma
10,table_1,stock,companiesMarketCap_dataset.jsonl,rank,0.30294633,Coma
11,table_1,employees,companiesMarketCap_dataset.jsonl,categories,0.29485422,Coma
12,table_1,name,campaignindia.csv,BRAND NAME,0.42887965,Coma
13,table_1,name,campaignindia.csv,BRAND NAME,0.9780207788541116,DistributionBased
14,table_1,market_cap,campaignindia.csv,MAIN MARKET,0.42591837,Coma
15,table_1,country,campaignindia.csv,CATEGORY,0.31707317,Coma
16,table_1,stock,campaignindia.csv,RANK,0.24250546,Coma
17,table_1,country,MalPatSaj-companiesmarketcap.com.xls,Country,0.802208,Coma
18,table_1,name,MalPatSaj-companiesmarketcap.com.xls,Name,0.7927542,Coma
19,table_1,market_cap,MalPatSaj-companiesmarketcap.com.xls,MarketCap,0.6671172,Coma
20,table_1,share_price,MalPatSaj-companiesmarketcap.com.xls,Price,0.49910343,Coma
21,table_1,share_price,MalPatSaj-companiesmarketcap.com.xls,Price,0.9924457962744723,DistributionBased
22,table_1,stock,MalPatSaj-companiesmarketcap.com.xls,Symbol,0.2597665,Coma
23,table_1,stock,MalPatSaj-companiesmarketcap.com.xls,Symbol,0.9768512647224261,DistributionBased
24,table_1,industry,MalPatSaj-disfold.com.xlsx,Industry,0.84821236,Coma
25,table_1,country,MalPatSaj-disfold.com.xlsx,Country,0.8457614,Coma
26,table_1,sector,MalPatSaj-disfold.com.xlsx,Sector,0.843004,Coma
27,table_1,stock,MalPatSaj-disfold.com.xlsx,Stock,0.83987904,Coma
28,table_1,name,MalPatSaj-disfold.com.xlsx,Name,0.8363075,Coma
29,table_1,market_cap,MalPatSaj-disfold.com.xlsx,MarketCap,0.7106706,Coma
30,table_1,country,companiesmarketcap.json,country,0.8025657,Coma
31,table_1,name,companiesmarketcap.json,name,0.79311186,Coma
32,table_1,share_price,companiesmarketcap.json,sharePrice,0.67961013,Coma
33,table_1,market_cap,companiesmarketcap.json,marketcap,0.66747487,Coma
34,table_1,stock,companiesmarketcap.json,rank,0.29429606,Coma
35,table_1,employees,companiesmarketcap.json,categories,0.28620395,Coma
36,table_1,market_cap,disfold_dataset.jsonl,market_cap,0.8514473,Coma
37,table_1,employees,disfold_dataset.jsonl,employees,0.84947366,Coma
38,table_1,founded,disfold_dataset.jsonl,founded,0.8448297,Coma
39,table_1,name,disfold_dataset.jsonl,name,0.83537585,Coma
40,table_1,ceo,disfold_dataset.jsonl,ceo,0.831255,Coma
41,table_1,headquarters,disfold_dataset.jsonl,headquarters_country,0.6357422,Coma
42,table_1,country,company_social_urls.csv,Company,0.3124383,Coma
43,table_1,industry,company_social_urls.csv,Instagram,0.21795724,Coma
44,table_1,sector,company_social_urls.csv,Twitter,0.19300869,Coma
45,table_1,stock,company_social_urls.csv,Facebook,0.19300869,Coma
46,table_1,address,company_social_urls.csv,Pinterest,0.17812456,Coma
47,table_1,country,MalPatSaj-forbes.com.xls,Country,0.7905094,Coma
48,table_1,name,MalPatSaj-forbes.com.xls,Name,0.78105557,Coma
49,table_1,market_cap,MalPatSaj-forbes.com.xls,Market Value,0.4463486,Coma
50,table_1,market_cap,MalPatSaj-forbes.com.xls,Market Value,0.9309208626682783,DistributionBased
51,table_1,employees,MalPatSaj-forbes.com.xls,Sales,0.31992114,Coma
52,table_1,address,MalPatSaj-forbes.com.xls,Assets,0.30833468,Coma
53,table_1,headquarters,disfold.com.json,headquarters,0.84476304,Coma
54,table_1,market_cap,disfold.com.json,market_cap,0.8413539,Coma
