name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
Apple,,$2.351 T,164.000,USA,,,,,,,$147.81,,AAPL,,$394.32 B
Apple,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","$2,640.32 B","154,000",United States,"Cupertino, CA, United States",,Technology,Tim Cook,1976,,,,,,$378.7B
Wells Fargo,,$175.05 B,,USA,,,,,,,$45.94,,WFC,,
Wells Fargo,Banking,$176.77 B,"247,848",United States,"San Francisco, CA, United States",,Financials,Charles William Scharf,1852,,,,,,$84.1B
Nike,,$175.54 B,,USA,,,,,,,$112.20,,NKE,,
Nike,"Clothing, Shoes, Sports Equipment",$203.13 B,"73,300",Canada,"Beaverton, OR, United States",,Consumer Discretionary,John J. Donahoe II,1964,,$128.38,,,,$46.9B
Walt Disney,,$177.08 B,,USA,,,,,,,$99.43,,DIS,,
Walt Disney,Media & Advertising,$215.33 B,"190,000",United States,,,,Robert A. Chapek,1923,,,,,,$73B
Abbott Laboratories,,$188.46 B,,USA,,,,,,,$108.09,,ABT,,
Abbott Laboratories,Medical Devices,$215.02 B,"113,000",United States,"NorthChicago,IL,UnitedStates",,Healthcare,Robert B. Ford,1888,,,,ABT,,$44.5B
Accenture,Professional Services,$189.25 B,"624,000",Ireland,"Dublin, Ireland",,Technology,Julie Spellman Sweet,1955,,$300.13,,ACN,,$56.7B
Novartis,Drugs & Biotechnology,$194.41 B,"108,000",Switzerland,"Basel, Switzerland",,Healthcare,Vasant Narasimhan,1996,,$89.99,,NVS,,$51.6B
Toyota,Auto Manufacturers,$199.92 B,"371,365",Japan,"Toyota, Japan",,Consumer Discretionary,Mr. Akio Toyoda,"August 28, 1937",,$146.53,,TM,,"¥27,214,594 million  US$256.7 billion (FY21)"
Danaher,,$199.62 B,,USA,,,,,,,$274.23,,DHR,,
Danaher,"Engineering, Manufacturing",$189.4 B,"80,000",United States,"Washington, DC, United States",,Healthcare,Rainer M. Blair,1984,,,,,,$30.3B
Cisco,,$204.17 B,83.300,USA,,,,,,,$49.70,,CSCO,,$52.28 B
Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",$206.97 B,"82,000",UK,"London, United Kingdom",,Energy,Bernardus van Beurden,1907,,$57.72,,SHEL,,$261.8B
Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",$209.87 B,"82,000",united-kingdom,"London, United Kingdom",,Energy,Bernardus van Beurden,1907,,$60.08,,,,$261.8B
Shell,,$208.24 B,82.0,SHEL,,,,,,,$59.61,,,,$365.29 B
Costco,,$218.88 B,304.000,USA,,,,,,,$494.53,,COST,,$229.18 B
Astrazeneca,,$213.83 B,,UK,,,,,,,$68.47,,AZN,,
Thermo Fisher Scientific,,$220.80 B,,USA,,,,,,,$563.00,,TMO,,
Thermo Fisher Scientific,Drugs & Biotechnology,$219.71 B,"130,000",United States,"Waltham, MA, United States",,Healthcare,Marc N. Casper ,1983,,,,,,$39.2B
Broadcom,,$219.02 B,,USA,,,,,,,$540.80,,AVGO,,
Broadcom,Semiconductors,$239.64 B,"20,000",United States,"San Jose, CA, United States",,Technology,Hock E. Tan,1961,,,,,,$28.5B
Reliance Industries,Oil & Gas Operations,$226.23 B,"236,334",India,,,,Mukesh Dhirubhai Ambani,1973,,$33.44,,RELIANCE.NS,,$86.9B
Oracle,,$224.72 B,,USA,,,,,,,$83.35,,ORCL,,
Oracle,"IT, Internet, Software & Services",$203.34 B,"133,000",United States,"Redwood City, CA, United States",,Technology,Safara Catz,1977,,,,,,$41.8B
Alibaba,Internet Retail,$240.69 B,"259,316",China,"Hangzhou, China",,Consumer Discretionary,Mr. Yong Zhang,28 June 1999,,$90.06,,BABA,,"CN¥717.289 billion (US$109.480 billion, 2021)"
Merck,,$278.99 B,,USA,,,,,,,$110.04,,MRK,,
Roche,Drug Manufacturers—General,$270.73 B,"100,920",Switzerland,"Basel, Switzerland",,Healthcare,Dr. Severin Schwan Ph.D.,,,$329.15,,ROG.SW,,
Novo Nordisk,Drugs & Biotechnology,$285.74 B,"47,792",Denmark,"Bagsvaerd, Denmark",,Healthcare,Lars Fruergaard Jørgensen,1989,,$126.90,,NVO,,$22.4B
Pfizer,,$285.77 B,,USA,,,,,,,$50.91,,PFE,,
Pfizer,Drugs & Biotechnology,$271.83 B,"29,000",United States,"New York, NY, United States",,Healthcare,Albert Bourla,1849,,,,,,$81.5B
