name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
Apple,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$2.351 T,164.000,USA,"Cupertino, CA, United States",,Technology,Tim Cook,1976,,$147.81,,AAPL,,$394.32 B
Wells Fargo,Banking,$175.05 B,"247,848",USA,"San Francisco, CA, United States",,Financials,Charles William Scharf,1852,,$45.94,,WFC,,$84.1B
Nike,"Clothing, Shoes, Sports Equipment",$175.54 B,"73,300",USA,"Beaverton, OR, United States",,Consumer Discretionary,John J. Donahoe II,1964,,$112.20,,NKE,,$46.9B
Walt Disney,Media & Advertising,$177.08 B,"190,000",USA,,,,Robert A. Chapek,1923,,$99.43,,DIS,,$73B
Abbott Laboratories,Medical Devices,$188.46 B,"113,000",USA,"NorthChicago,IL,UnitedStates",,Healthcare,Robert B. Ford,1888,,$108.09,,ABT,,$44.5B
Danaher,"Engineering, Manufacturing",$199.62 B,"80,000",USA,"Washington, DC, United States",,Healthcare,Rainer M. Blair,1984,,$274.23,,DHR,,$30.3B
Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",$206.97 B,"82,000",UK,"London, United Kingdom",,Energy,Bernardus van Beurden,1907,,$57.72,,SHEL,,$261.8B
Thermo Fisher Scientific,Drugs & Biotechnology,$220.80 B,"130,000",USA,"Waltham, MA, United States",,Healthcare,Marc N. Casper ,1983,,$563.00,,TMO,,$39.2B
Broadcom,Semiconductors,$219.02 B,"20,000",USA,"San Jose, CA, United States",,Technology,Hock E. Tan,1961,,$540.80,,AVGO,,$28.5B
Oracle,"IT, Internet, Software & Services",$224.72 B,"133,000",USA,"Redwood City, CA, United States",,Technology,Safara Catz,1977,,$83.35,,ORCL,,$41.8B
Pfizer,Drugs & Biotechnology,$285.77 B,"29,000",USA,"New York, NY, United States",,Healthcare,Albert Bourla,1849,,$50.91,,PFE,,$81.5B
Chevron,"Construction, Oil & Gas Operations, Mining and Chemicals",$350.04 B,"23,729",USA,"San Ramon, CA, United States",,Energy,Michael K. Wirth,1879,,$181.03,,CVX,,$156.3B
Mastercard,Business Services & Supplies,$346.18 B,"24,000",USA,"Purchase, NY, United States",,Financials,Michael Miebach,1966,,$360.06,,MA,,$18.9B
Procter & Gamble,Packaged Goods,$356.90 B,"26,000",USA,"Cincinnati, OH, United States",,Consumer Staples,Jon R. Moeller,1837,,$150.61,,PG,,$79.6B
Eli Lilly,Drugs & Biotechnology,$356.08 B,"36,000",USA,,,,David A. Ricks,1876,,$374.76,,LLY,,$28.3B
Walmart,Retailing,$415.87 B,"2,300,000",USA,"Bentonville, AR, United States",,Consumer Staples,C. Douglas McMillon,1962,,$153.22,,WMT,,$572.8B
Visa,Banking and Financial Services,$460.99 B,"21,500",USA,"San Francisco, CA, United States",,Financials,Alfred F. Kelly Jr.,1958,,$217.66,,V,,$25.5B
Johnson & Johnson,Drug Manufacturers—General,$467.67 B,"130,000",USA,"New Brunswick, NJ, United States",,Healthcare,Joaquin Duato,1886,,$178.88,,JNJ,,$94.9B
Berkshire Hathaway,Diversified Financials,$696.53 B,"372,000",USA,"Omaha, NE, United States",,Financials,Warren Edward Buffett,1939,,$316.15,,,,$276.1B
Amazon,Retail and Wholesale,$960.28 B,"1,608,000",USA,"Seattle, WA, United States",,Consumer Discretionary,Andy Jassy,1994,,$94.13,,AMZN,,$469.8B
Microsoft,"IT, Internet, Software & Services",$1.901 T,221.000,USA,"Redmond, WA, United States",,Technology,Satya Nadella,1975,,$255.02,,MSFT,,$203.07 B
Elevance Health,Drugs & Biotechnology,$125.66 B,"98,200",USA,,,,Gail K. Boudreaux,2004,,$523.60,,ELV,,$144.3B
Lockheed Martin,Aerospace & Defense,$130.04 B,"106,020",USA,,,,James D. Taiclet,1912,,$496.23,,LMT,,$65.8B
Unilever,Packaged Goods,$131.15 B,"148,000",UK,"London, United Kingdom",,Consumer Staples,Alan Jope,1929,,$51.50,,UL,,$62B
Union Pacific Corporation,Railroads,$132.01 B,30.582,USA,"Omaha,NE,UnitedStates",,Industrials, Mr. Lance M. Fritz, 1969 ,,$214.73,,UNP,,$22.68 B
Deere & Company,Farm & Heavy Construction Machinery,$134.49 B,"75,600",USA,"Moline,IL,UnitedStates",,Industrials,John C. May,1837,,$445.61,,DE,,$44.5B
Netflix,Media & Advertising,$142.58 B,"11,300",USA,"Los Gatos, CA, United States",,Communication Services,Reed Hastings Ted Sarandos,1997,,$320.41,,NFLX,,$30.4B
Raytheon Technologies,Aerospace & Defense,$148.49 B,"174,000",USA,"Waltham, MA, United States",,Industrials,Gregory J. Hayes,1922,,$101.01,,RTX,,$64.4B
China Mobile,Telecommunications Services,$149.18 B,"449,934",China,"Hong Kong, Hong Kong",,Communication Services,Xin Dong,1997,,$6.59,,0941.HK,,$131.5B
Amgen,Drugs & Biotechnology,$152.34 B,"24,200",USA,"Thousand Oaks, CA, United States",,Healthcare,Robert A. Bradway,1980,,$285.51,,AMGN,,$26B
Charles Schwab,Banking and Financial Services,$153.93 B,35.200,USA,,,,Walter W. Bettinger II,1971,,$82.46,,SCHW,,$19.97 B
Adobe,"IT, Internet, Software & Services",$158.77 B,"25,988",USA,"San Jose, CA, United States",,Technology,Shantanu Narayen,1982,,$341.53,,ADBE,,$16.1B
Comcast,Media & Advertising,$155.03 B,"132,300",USA,"Philadelphia, PA, United States",,Communication Services,Brian L. Roberts,1963,,$35.86,,CMCSA,,$116.4B
Morgan Stanley,Capital Markets,$155.65 B,81.567,USA,"New York, NY, United States",,Financials,James P. Gorman,1924,,$92.10,,MS,,$52.02 B
Texas Instruments,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$161.23 B,"31,000",USA,"Dallas, TX, United States",,Technology,Richard (Rich) K. Templeton,1930,,$177.66,,TXN,,$18.3B
Linde,Chemicals,$166.77 B,"72,327",UK,"Guildford, United Kingdom",,Basic Materials,Sanjiv Lamba,1879,,$337.35,,LIN,,$30.8B
United Parcel Service,Transportation and Logistics,$163.80 B,500.000,USA,,,,Carol B. Tomé,1907,,$189.39,,UPS,,$101.07 B
Applied Materials,Semiconductors,$91.80 B,31.900,USA,"Santa Clara, CA, United States",,Technology,Gary E. Dickerson,1967,,$106.71,,AMAT,,$25.78 B
Citigroup,Banking and Financial Services,$91.49 B,"223,400",USA,,,,Jane Fraser,1812,,$47.24,,C,,$79.9B
Stryker Corporation,Medical Devices,$92.00 B,"46,000",USA,"Kalamazoo, MI, United States",,Healthcare,Mr. Kevin A. Lobo,1941,,$243.11,,SYK,,US$17.108 billion (2021)
General Electric,"Engineering, Manufacturing",$94.93 B,"168,000",USA,"Boston, MA, United States",,Industrials,H. Lawrence Culp Jr.,1892,,$86.88,,GE,,$74.1B
British American Tobacco,"Food, Drink & Tobacco",$94.99 B,"55,981",UK,,,,Jack Bowles,1902,,$42.31,,BTI,,$35.3B
Intuitive Surgical,Health Care Equipment & Services,$96.20 B,9.793,USA,,,,Gary S. Guthart,1995,,$272.25,,ISRG,,$6.11 B
American Tower,"Telecommunications Services, Cable Supplier",$102.13 B,"2,291",USA,"Boston, MA, United States",,Real Estate,Thomas A. Bartlett,1995,,$219.37,,AMT,,$9.4B
Cigna,Insurance,$100.03 B,"73,700",USA,,,,David Cordani,1792,,$327.20,,CI,,$174.3B
Diageo,"Food, Soft Beverages, Alcohol & Tobacco",$108.84 B,"27,987",UK,,,,Ivan M. Menezes,1997,,$191.39,,DEO,,$19B
Prologis,Real Estate,$107.94 B,Not found,USA,"San Francisco, CA, United States",,Real Estate,Not found,1993,,$116.94,,PLD,,$4.8B
Boeing,Aerospace & Defense,$108.98 B,"142,000",USA,,,,David L. Calhoun,1916,,$182.87,,BA,,$62.3B
Gilead Sciences,Drugs & Biotechnology,$111.66 B,"14,000",USA,,,,Daniel O'Day,1987,,$89.03,,GILD,,$27.4B
Automatic Data Processing,Business Services & Supplies,$111.96 B,"56,000",USA,,,,Carlos Rodriguez,1949,,$269.90,,ADP,,$15.7B
Rio Tinto,"Construction, Oil & Gas Operations, Mining and Chemicals",$113.15 B,"49,000",UK,"London, United Kingdom",,Basic Materials,Jakob Stausholm,1873,,$69.82,,RIO,,$63.5B
Intuit,IT Software & Services,$114.59 B,"13,500",USA,"Mountain View, CA, United States",,Technology,Sasan Goodarzi,1983,,$407.92,,INTU,,$11.4B
American Express,Banking and Financial Services,$117.12 B,"22,000",USA,"New York, NY, United States",,Financials,Stephen J. Squeri,1850,,$156.75,,AXP,,$46.3B
Starbucks,Restaurants,$120.57 B,383.000,USA,"Seattle, WA, United States",,Consumer Discretionary,Howard Schultz,1971,,$105.05,,SBUX,,$30.23 B
Intel,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$121.37 B,"121,100",USA,"Santa Clara, CA, United States",,Technology,Patrick Gelsinger,1968,,$29.41,,INTC,,$79B
Caterpillar,"Engineering, Manufacturing",$122.88 B,"107,700",USA,,,,James Umpleby,1925,,$236.13,,CAT,,$51B
Target,Retail and Wholesale,$75.56 B,"450,000",USA,,,,Brian Cornell,1902,,$164.16,,TGT,,$106B
Duke Energy,Utilities,$76.63 B,"27,605",USA,,,,Lynn J. Good,1904,,$99.52,,DUK,,$25.1B
Progressive,Insurance,$77.51 B,"49,000",USA,,,,Tricia Griffith,1937,,$132.51,,PGR,,$48.1B
Vertex Pharmaceuticals,Drugs & Biotechnology,$82.49 B,"3,900",USA,,,,Reshma Kewalramani,1989,,$321.37,,VRTX,,$7.6B
Regeneron Pharmaceuticals,Drugs & Biotechnology,$83.46 B,"10,000",USA,,,,Leonard S. Schleifer,1988,,$766.39,,REGN,,$16.1B
Northrop Grumman,Aerospace & Defense,$83.97 B,"90,000",USA,,,,Kathy Warden,1939,,$545.60,,NOC,,$35.7B
Altria Group,"Food, Drink & Tobacco",$85.36 B,"6,000",USA,,,,Not found,1919,,$47.63,,MO,,$21.1B
Analog Devices,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$85.88 B,"24,700",USA,,,,Vincent T. Roche,1965,,$168.63,,ADI,,$8.4B
Moderna,Drugs & Biotechnology,$70.05 B,3.7,USA,,,,Stéphane Bancel,2010,,$182.35,,MRNA,,$20.67 B
Illinois Tool Works,Capital Goods,$70.12 B,"45,000",USA,,,,Ernest Scott Santi,1912,,$228.29,,,,$14.5B
General Dynamics,Aerospace & Defense,$70.21 B,"89,775",USA,,,,Phebe N. Novakovic,1952,,$255.74,,GD,,$38.5B
Becton Dickinson,Health Care Equipment & Services,$71.51 B,"72,000",USA,,,,Tom Polen,1897,,$252.38,,BDX,,$19.9B
Zoetis,Drugs & Biotechnology,$73.36 B,"12,100",USA,,,,Kristin C. Peck,1952,,$157.42,,ZTS,,$7.8B
Southern Company,Utilities,$73.31 B,"27,300",USA,,,,Tom Fanning,1945,,$67.34,,SO,,$23.2B
Schlumberger,Oil & Gas Operations,$74.85 B,"92,000",USA,,,,Olivier Le Peuch,1926,,$52.79,,SLB,,$23.7B
Waste Management,Utilities,$69.70 B,"48,500",USA,,,,Jim Fish,1971,,$169.81,,WM,,$17.9B
Uber,IT Software & Services,$57.33 B,32.600,USA,,,,Dara Khosrowshahi,2009,,$28.75,,UBER,,$29.04 B
London Stock Exchange,Diversified Financials,$59.00 B,"23,261",UK,,,,David Adam Schwimmer,1802,,$106.36,,LS4C.F,,$9.3B
Norfolk Southern,Transportation,$58.82 B,18.100,USA,,,,Alan H. Shaw,1883,,$254.07,,NSC,,$12.36 B
Activision Blizzard,Consumer Durables,$59.29 B,"9,800",USA,,,,Robert A. Kotick,2008,,$75.76,,ATVI,,$8.8B
Micron Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$59.44 B,"43,000",USA,,,,Sanjay Mehrotra,1978,,$54.68,,MU,,$31.2B
Truist Financial,Banking,$59.78 B,"52,641",USA,,,,William H. Rogers Jr.,1872,,$45.06,,TFC,,$23.2B
Charter Communications,Media,$61.13 B,"93,700",USA,"Stamford, CT, United States",,Communication Services,Thomas M. Rutledge,1993,,$392.69,,CHTR,,$51.7B
Blackstone Group,,$61.48 B,3.795,USA,,,,,,,$85.16,,BX,,$9.84 B
Occidental Petroleum,Oil & Gas Operations,$61.99 B,"11,678",USA,,,,Vicki A. Hollub,1920,,$68.21,,OXY,,$26B
