,label,left_id,left_name,left_industry,left_market_cap,left_employees,left_country,left_headquarters,left_address,left_sector,left_ceo,left_founded,left_founders,left_share_price,left_website,left_stock,left_area_served,left_revenue,right_id,right_name,right_industry,right_market_cap,right_employees,right_country,right_headquarters,right_address,right_sector,right_ceo,right_founded,right_founders,right_share_price,right_website,right_stock,right_area_served,right_revenue
0,0,1203,Bristol-myers Squibb,,$172.49 B,,USA,,,,,,,$81.13,,,,,1202,Apple,,$2.351 T,,USA,,,,,,,$147.81,,,,
1,0,1204,Wells Fargo,,$175.05 B,,USA,,,,,,,$45.94,,,,,1203,Bristol-myers Squibb,,$172.49 B,,USA,,,,,,,$81.13,,,,
2,0,1205,Nike,,$175.54 B,,USA,,,,,,,$112.20,,,,,1204,Wells Fargo,,$175.05 B,,USA,,,,,,,$45.94,,,,
3,0,1206,Walt Disney,,$177.08 B,,USA,,,,,,,$99.43,,,,,1205,Nike,,$175.54 B,,USA,,,,,,,$112.20,,,,
4,0,1207,Abbott Laboratories,,$188.46 B,,USA,,,,,,,$108.09,,,,,1206,Walt Disney,,$177.08 B,,USA,,,,,,,$99.43,,,,
5,0,1208,Accenture,,$189.25 B,,Ireland,,,,,,,$300.13,,,,,1207,Abbott Laboratories,,$188.46 B,,USA,,,,,,,$108.09,,,,
6,0,1209,T-mobile Us,,$189.62 B,,USA,,,,,,,$152.41,,,,,1208,Accenture,,$189.25 B,,Ireland,,,,,,,$300.13,,,,
7,0,1210,Novartis,,$194.41 B,,Switzerland,,,,,,,$89.99,,,,,1209,T-mobile Us,,$189.62 B,,USA,,,,,,,$152.41,,,,
8,0,1211,Toyota,,$199.92 B,,Japan,,,,,,,$146.53,,,,,1210,Novartis,,$194.41 B,,Switzerland,,,,,,,$89.99,,,,
9,0,1212,Danaher,,$199.62 B,,USA,,,,,,,$274.23,,,,,1211,Toyota,,$199.92 B,,Japan,,,,,,,$146.53,,,,
10,0,1213,Mcdonald,,$200.24 B,,USA,,,,,,,$273.40,,,,,1212,Danaher,,$199.62 B,,USA,,,,,,,$274.23,,,,
11,0,1214,Icbc,,$201.96 B,,China,,,,,,,$0.49,,,,,1213,Mcdonald,,$200.24 B,,USA,,,,,,,$273.40,,,,
12,0,1215,L'oréal,,$204.92 B,,France,,,,,,,$379.90,,,,,1214,Icbc,,$201.96 B,,China,,,,,,,$0.49,,,,
13,0,1216,Cisco,,$204.17 B,,USA,,,,,,,$49.70,,,,,1215,L'oréal,,$204.92 B,,France,,,,,,,$379.90,,,,
14,0,1217,Shell,,$206.97 B,,UK,,,,,,,$57.72,,,,,1216,Cisco,,$204.17 B,,USA,,,,,,,$49.70,,,,
15,0,1218,Costco,,$218.88 B,,USA,,,,,,,$494.53,,,,,1217,Shell,,$206.97 B,,UK,,,,,,,$57.72,,,,
16,0,1219,Astrazeneca,,$213.83 B,,UK,,,,,,,$68.47,,,,,1218,Costco,,$218.88 B,,USA,,,,,,,$494.53,,,,
17,0,1220,Thermo Fisher Scientific,,$220.80 B,,USA,,,,,,,$563.00,,,,,1219,Astrazeneca,,$213.83 B,,UK,,,,,,,$68.47,,,,
18,0,1221,Broadcom,,$219.02 B,,USA,,,,,,,$540.80,,,,,1220,Thermo Fisher Scientific,,$220.80 B,,USA,,,,,,,$563.00,,,,
19,0,1222,Reliance Industries,,$226.23 B,,India,,,,,,,$33.44,,,,,1221,Broadcom,,$219.02 B,,USA,,,,,,,$540.80,,,,
20,0,1223,Oracle,,$224.72 B,,USA,,,,,,,$83.35,,,,,1222,Reliance Industries,,$226.23 B,,India,,,,,,,$33.44,,,,
21,0,1224,Asml,,$247.88 B,,Netherlands,,,,,,,$605.71,,,,,1223,Oracle,,$224.72 B,,USA,,,,,,,$83.35,,,,
22,0,1225,Alibaba,,$240.69 B,,China,,,,,,,$90.06,,,,,1224,Asml,,$247.88 B,,Netherlands,,,,,,,$605.71,,,,
23,0,1226,Merck,,$278.99 B,,USA,,,,,,,$110.04,,,,,1225,Alibaba,,$240.69 B,,China,,,,,,,$90.06,,,,
24,0,1227,Coca-cola,,$278.28 B,,USA,,,,,,,$64.35,,,,,1226,Merck,,$278.99 B,,USA,,,,,,,$110.04,,,,
25,0,1228,Roche,,$270.73 B,,Switzerland,,,,,,,$329.15,,,,,1227,Coca-cola,,$278.28 B,,USA,,,,,,,$64.35,,,,
26,0,1229,Novo Nordisk,,$285.74 B,,Denmark,,,,,,,$126.90,,,,,1228,Roche,,$270.73 B,,Switzerland,,,,,,,$329.15,,,,
27,0,1230,Abbvie,,$289.42 B,,USA,,,,,,,$163.66,,,,,1229,Novo Nordisk,,$285.74 B,,Denmark,,,,,,,$126.90,,,,
28,0,1231,Pfizer,,$285.77 B,,USA,,,,,,,$50.91,,,,,1230,Abbvie,,$289.42 B,,USA,,,,,,,$163.66,,,,
29,0,1232,Kweichow Moutai,,$292.41 B,,China,,,,,,,$232.78,,,,,1231,Pfizer,,$285.77 B,,USA,,,,,,,$50.91,,,,
30,0,1233,Bank Of America,,$289.44 B,,USA,,,,,,,$36.08,,,,,1232,Kweichow Moutai,,$292.41 B,,China,,,,,,,$232.78,,,,
31,0,1234,Nestlé,,$331.82 B,,Switzerland,,,,,,,$120.66,,,,,1233,Bank Of America,,$289.44 B,,USA,,,,,,,$36.08,,,,
32,0,1235,Meta Platforms (facebook),,$327.43 B,,USA,,,,,,,$123.49,,,,,1234,Nestlé,,$331.82 B,,Switzerland,,,,,,,$120.66,,,,
33,0,1236,Samsung,,$312.57 B,,South Korea,,,,,,,$46.54,,,,,1235,Meta Platforms (facebook),,$327.43 B,,USA,,,,,,,$123.49,,,,
34,0,1237,Home Depot,,$334.28 B,,USA,,,,,,,$327.99,,,,,1236,Samsung,,$312.57 B,,South Korea,,,,,,,$46.54,,,,
35,0,1238,Chevron,,$350.04 B,,USA,,,,,,,$181.03,,,,,1237,Home Depot,,$334.28 B,,USA,,,,,,,$327.99,,,,
36,0,1239,Mastercard,,$346.18 B,,USA,,,,,,,$360.06,,,,,1238,Chevron,,$350.04 B,,USA,,,,,,,$181.03,,,,
37,0,1240,Procter & Gamble,,$356.90 B,,USA,,,,,,,$150.61,,,,,1239,Mastercard,,$346.18 B,,USA,,,,,,,$360.06,,,,
38,0,1241,Eli Lilly,,$356.08 B,,USA,,,,,,,$374.76,,,,,1240,Procter & Gamble,,$356.90 B,,USA,,,,,,,$150.61,,,,
39,0,1242,Tencent,,$378.34 B,,China,,,,,,,$39.29,,,,,1241,Eli Lilly,,$356.08 B,,USA,,,,,,,$374.76,,,,
40,0,1243,Lvmh,,$376.99 B,,France,,,,,,,$753.26,,,,,1242,Tencent,,$378.34 B,,China,,,,,,,$39.29,,,,
41,0,1244,Walmart,,$415.87 B,,USA,,,,,,,$153.22,,,,,1243,Lvmh,,$376.99 B,,France,,,,,,,$753.26,,,,
42,0,1245,Jpmorgan Chase,,$396.45 B,,USA,,,,,,,$135.16,,,,,1244,Walmart,,$415.87 B,,USA,,,,,,,$153.22,,,,
43,0,1246,Nvidia,,$420.54 B,,USA,,,,,,,$168.76,,,,,1245,Jpmorgan Chase,,$396.45 B,,USA,,,,,,,$135.16,,,,
44,0,1247,Tsmc,,$422.66 B,,Taiwan,,,,,,,$81.50,,,,,1246,Nvidia,,$420.54 B,,USA,,,,,,,$168.76,,,,
45,0,1248,Exxon Mobil,,$452.43 B,,USA,,,,,,,$109.86,,,,,1247,Tsmc,,$422.66 B,,Taiwan,,,,,,,$81.50,,,,
46,0,1249,Visa,,$460.99 B,,USA,,,,,,,$217.66,,,,,1248,Exxon Mobil,,$452.43 B,,USA,,,,,,,$109.86,,,,
47,0,1250,Johnson & Johnson,,$467.67 B,,USA,,,,,,,$178.88,,,,,1249,Visa,,$460.99 B,,USA,,,,,,,$217.66,,,,
48,0,1251,Tesla,,$606.20 B,,USA,,,,,,,$194.86,,,,,1250,Johnson & Johnson,,$467.67 B,,USA,,,,,,,$178.88,,,,
49,0,1252,Unitedhealth,,$500.96 B,,USA,,,,,,,$536.16,,,,,1251,Tesla,,$606.20 B,,USA,,,,,,,$194.86,,,,
50,0,1253,Berkshire Hathaway,,$696.53 B,,USA,,,,,,,$316.15,,,,,1252,Unitedhealth,,$500.96 B,,USA,,,,,,,$536.16,,,,
51,0,1254,Amazon,,$960.28 B,,USA,,,,,,,$94.13,,,,,1253,Berkshire Hathaway,,$696.53 B,,USA,,,,,,,$316.15,,,,
52,0,1255,Microsoft,,$1.901 T,,USA,,,,,,,$255.02,,,,,1254,Amazon,,$960.28 B,,USA,,,,,,,$94.13,,,,
53,0,1256,Alphabet (google),,$1.303 T,,USA,,,,,,,$100.83,,,,,1255,Microsoft,,$1.901 T,,USA,,,,,,,$255.02,,,,
54,0,1257,Saudi Aramco,,$1.938 T,,Saudi Arabia,,,,,,,$8.81,,,,,1256,Alphabet (google),,$1.303 T,,USA,,,,,,,$100.83,,,,
55,0,1258,Toronto Dominion Bank,,$125.25 B,,Canada,,,,,,,$68.59,,,,,1257,Saudi Aramco,,$1.938 T,,Saudi Arabia,,,,,,,$8.81,,,,
56,0,1259,Hdfc Bank,,$126.75 B,,India,,,,,,,$68.20,,,,,1258,Toronto Dominion Bank,,$125.25 B,,Canada,,,,,,,$68.59,,,,
57,0,1260,Elevance Health,,$125.66 B,,USA,,,,,,,$523.60,,,,,1259,Hdfc Bank,,$126.75 B,,India,,,,,,,$68.20,,,,
58,0,1261,Goldman Sachs,,$128.87 B,,USA,,,,,,,$380.58,,,,,1260,Elevance Health,,$125.66 B,,USA,,,,,,,$523.60,,,,
59,0,1262,Petrochina,,$129.63 B,,China,,,,,,,$0.74,,,,,1261,Goldman Sachs,,$128.87 B,,USA,,,,,,,$380.58,,,,
60,0,1263,Lockheed Martin,,$130.04 B,,USA,,,,,,,$496.23,,,,,1262,Petrochina,,$129.63 B,,China,,,,,,,$0.74,,,,
61,0,1264,Lowe's Companies,,$129.91 B,,USA,,,,,,,$214.84,,,,,1263,Lockheed Martin,,$130.04 B,,USA,,,,,,,$496.23,,,,
62,0,1265,Prosus,,$131.50 B,,Netherlands,,,,,,,$65.60,,,,,1264,Lowe's Companies,,$129.91 B,,USA,,,,,,,$214.84,,,,
63,0,1266,Unilever,,$131.15 B,,UK,,,,,,,$51.50,,,,,1265,Prosus,,$131.50 B,,Netherlands,,,,,,,$65.60,,,,
64,0,1267,Union Pacific Corporation,,$132.01 B,,USA,,,,,,,$214.73,,,,,1266,Unilever,,$131.15 B,,UK,,,,,,,$51.50,,,,
65,0,1268,Ibm,,$133.25 B,,USA,,,,,,,$148.67,,,,,1267,Union Pacific Corporation,,$132.01 B,,USA,,,,,,,$214.73,,,,
66,0,1269,Meituan,,$133.48 B,,China,,,,,,,$21.57,,,,,1268,Ibm,,$133.25 B,,USA,,,,,,,$148.67,,,,
67,0,1270,Sap,,$133.26 B,,Germany,,,,,,,$112.03,,,,,1269,Meituan,,$133.48 B,,China,,,,,,,$21.57,,,,
68,0,1271,Cvs Health,,$134.78 B,,USA,,,,,,,$102.58,,,,,1270,Sap,,$133.26 B,,Germany,,,,,,,$112.03,,,,
69,0,1272,Deere & Company,,$134.49 B,,USA,,,,,,,$445.61,,,,,1271,Cvs Health,,$134.78 B,,USA,,,,,,,$102.58,,,,
70,0,1273,Dior,,$135.84 B,,France,,,,,,,$751.90,,,,,1272,Deere & Company,,$134.49 B,,USA,,,,,,,$445.61,,,,
71,0,1274,At&t,,$135.55 B,,USA,,,,,,,$19.02,,,,,1273,Dior,,$135.84 B,,France,,,,,,,$751.90,,,,
72,0,1275,Royal Bank Of Canada,,$139.63 B,,Canada,,,,,,,$99.64,,,,,1274,At&t,,$135.55 B,,USA,,,,,,,$19.02,,,,
73,0,1276,Catl,,$136.36 B,,China,,,,,,,$55.83,,,,,1275,Royal Bank Of Canada,,$139.63 B,,Canada,,,,,,,$99.64,,,,
74,0,1277,Qualcomm,,$140.86 B,,USA,,,,,,,$125.66,,,,,1276,Catl,,$136.36 B,,China,,,,,,,$55.83,,,,
75,0,1278,Netflix,,$142.58 B,,USA,,,,,,,$320.41,,,,,1277,Qualcomm,,$140.86 B,,USA,,,,,,,$125.66,,,,
76,0,1279,Agricultural Bank Of China,,$140.40 B,,China,,,,,,,$0.41,,,,,1278,Netflix,,$142.58 B,,USA,,,,,,,$320.41,,,,
77,0,1280,Salesforce,,$144.55 B,,USA,,,,,,,$144.56,,,,,1279,Agricultural Bank Of China,,$140.40 B,,China,,,,,,,$0.41,,,,
78,0,1281,Honeywell,,$147.29 B,,USA,,,,,,,$219.08,,,,,1280,Salesforce,,$144.55 B,,USA,,,,,,,$144.56,,,,
79,0,1282,Raytheon Technologies,,$148.49 B,,USA,,,,,,,$101.01,,,,,1281,Honeywell,,$147.29 B,,USA,,,,,,,$219.08,,,,
80,0,1283,China Mobile,,$149.18 B,,China,,,,,,,$6.59,,,,,1282,Raytheon Technologies,,$148.49 B,,USA,,,,,,,$101.01,,,,
81,0,1284,Totalenergies,,$151.61 B,,France,,,,,,,$60.61,,,,,1283,China Mobile,,$149.18 B,,China,,,,,,,$6.59,,,,
